Origen,Destino,Distancia (km)
Montería,Florencia,1173.14
Montería,Yopal,846.73
Montería,Popayán,958.0
Montería,Valledupar,433.16
Montería,Quibdó,636.28
Montería,Bogotá,746.0
Montería,San José del Guaviare,1141.77
Montería,Neiva,937.74
Montería,Riohacha,604.61
Montería,Santa Marta,441.87
Montería,Villavicencio,864.73
Montería,San Juan de Pasto,1212.36
Montería,Cúcuta,706.59
Montería,Mocoa,1256.49
Montería,Armenia,695.3
Montería,Pereira,629.36
Montería,Bucaramanga,680.47
Montería,Sincelejo,119.46
Montería,Ibagué,747.7
Montería,Cali,826.85
Montería,Puerto Carreño,1553.7
Bogotá,Medellín,408.13
Bogotá,Arauca,750.21
Bogotá,Barranquilla,997.18
Bogotá,Cartagena de Indias,1039.22
Bogotá,Tunja,137.7
Bogotá,Manizales,292.96
Bogotá,Florencia,555.71
Bogotá,Yopal,384.92
Bogotá,Popayán,585.57
Bogotá,Valledupar,890.11
Bogotá,Quibdó,564.16
Bogotá,Montería,752.52
Bogotá,San José del Guaviare,401.81
Bogotá,Neiva,320.31
Bogotá,Riohacha,1083.68
Bogotá,Santa Marta,957.34
Bogotá,Villavicencio,124.78
Bogotá,San Juan de Pasto,784.53
Bogotá,Cúcuta,554.02
Bogotá,Mocoa,639.06
Bogotá,Armenia,287.01
Bogotá,Pereira,322.19
Bogotá,Bucaramanga,514.68
Bogotá,Sincelejo,916.42
Bogotá,Ibagué,206.59
Bogotá,Cali,463.46
Bogotá,Puerto Carreño,973.93
San José del Guaviare,Medellín,801.62
San José del Guaviare,Arauca,910.09
San José del Guaviare,Barranquilla,1390.68
San José del Guaviare,Cartagena de Indias,1432.72
San José del Guaviare,Tunja,537.05
San José del Guaviare,Manizales,686.45
San José del Guaviare,Florencia,476.42
San José del Guaviare,Yopal,544.8
San José del Guaviare,Popayán,943.62
San José del Guaviare,Valledupar,1283.6
San José del Guaviare,Quibdó,926.63
San José del Guaviare,Montería,1146.02
San José del Guaviare,Bogotá,399.36
San José del Guaviare,Neiva,678.36
San José del Guaviare,Riohacha,1477.17
San José del Guaviare,Santa Marta,1350.84
San José del Guaviare,Villavicencio,284.66
San José del Guaviare,San Juan de Pasto,1142.58
San José del Guaviare,Cúcuta,1015.25
San José del Guaviare,Mocoa,997.11
San José del Guaviare,Armenia,645.66
San José del Guaviare,Pereira,680.84
San José del Guaviare,Bucaramanga,908.18
San José del Guaviare,Sincelejo,1309.92
San José del Guaviare,Ibagué,565.24
San José del Guaviare,Cali,822.12
San José del Guaviare,Puerto Carreño,1133.74
Neiva,Medellín,593.21
Neiva,Arauca,1024.67
Neiva,Barranquilla,1182.27
Neiva,Cartagena de Indias,1224.31
Neiva,Tunja,448.91
Neiva,Manizales,377.35
Neiva,Florencia,235.8
Neiva,Yopal,659.38
Neiva,Popayán,265.66
Neiva,Valledupar,1075.19
Neiva,Quibdó,571.61
Neiva,Montería,937.61
Neiva,Bogotá,311.21
Neiva,San José del Guaviare,676.28
Neiva,Riohacha,1268.77
Neiva,Santa Marta,1142.43
Neiva,Villavicencio,399.24
Neiva,San Juan de Pasto,464.62
Neiva,Cúcuta,895.2
Neiva,Mocoa,319.15
Neiva,Armenia,290.64
Neiva,Pereira,325.81
Neiva,Bucaramanga,699.77
Neiva,Sincelejo,1101.51
Neiva,Ibagué,210.21
Neiva,Cali,467.09
Neiva,Puerto Carreño,1248.4
Riohacha,Medellín,954.25
Riohacha,Arauca,1011.69
Riohacha,Barranquilla,265.99
Riohacha,Cartagena de Indias,394.66
Riohacha,Tunja,943.66
Riohacha,Manizales,1080.91
Riohacha,Florencia,1504.13
Riohacha,Yopal,1132.53
Riohacha,Popayán,1476.02
Riohacha,Valledupar,193.91
Riohacha,Quibdó,1182.2
Riohacha,Montería,607.78
Riohacha,Bogotá,1077.0
Riohacha,San José del Guaviare,1472.76
Riohacha,Neiva,1268.73
Riohacha,Santa Marta,171.14
Riohacha,Villavicencio,1195.72
Riohacha,San Juan de Pasto,1732.96
Riohacha,Cúcuta,621.92
Riohacha,Mocoa,1587.48
Riohacha,Armenia,1168.42
Riohacha,Pereira,1175.29
Riohacha,Bucaramanga,732.22
Riohacha,Sincelejo,492.81
Riohacha,Ibagué,1078.69
Riohacha,Cali,1344.87
Riohacha,Puerto Carreño,1635.02
Santa Marta,Medellín,828.12
Santa Marta,Arauca,1045.74
Santa Marta,Barranquilla,100.22
Santa Marta,Cartagena de Indias,228.88
Santa Marta,Tunja,817.52
Santa Marta,Manizales,954.78
Santa Marta,Florencia,1378.0
Santa Marta,Yopal,1006.4
Santa Marta,Popayán,1349.89
Santa Marta,Valledupar,255.41
Santa Marta,Quibdó,1056.07
Santa Marta,Montería,442.0
Santa Marta,Bogotá,950.86
Santa Marta,San José del Guaviare,1346.62
Santa Marta,Neiva,1142.6
Santa Marta,Riohacha,171.4
Santa Marta,Villavicencio,1069.59
Santa Marta,San Juan de Pasto,1606.82
Santa Marta,Cúcuta,632.21
Santa Marta,Mocoa,1461.35
Santa Marta,Armenia,1042.29
Santa Marta,Pereira,1049.15
Santa Marta,Bucaramanga,606.09
Santa Marta,Sincelejo,327.04
Santa Marta,Ibagué,952.56
Santa Marta,Cali,1218.74
Santa Marta,Puerto Carreño,1669.07
Villavicencio,Medellín,523.49
Villavicencio,Arauca,626.43
Villavicencio,Barranquilla,1112.55
Villavicencio,Cartagena de Indias,1154.59
Villavicencio,Tunja,258.93
Villavicencio,Manizales,408.32
Villavicencio,Florencia,635.63
Villavicencio,Yopal,261.14
Villavicencio,Popayán,665.49
Villavicencio,Valledupar,1005.47
Villavicencio,Quibdó,648.51
Villavicencio,Montería,867.89
Villavicencio,Bogotá,121.23
Villavicencio,San José del Guaviare,284.7
Villavicencio,Neiva,400.23
Villavicencio,Riohacha,1199.04
Villavicencio,Santa Marta,1072.71
Villavicencio,San Juan de Pasto,864.45
Villavicencio,Cúcuta,731.59
Villavicencio,Mocoa,718.98
Villavicencio,Armenia,367.54
Villavicencio,Pereira,402.71
Villavicencio,Bucaramanga,630.05
Villavicencio,Sincelejo,1031.79
Villavicencio,Ibagué,287.11
Villavicencio,Cali,543.99
Villavicencio,Puerto Carreño,853.45
San Juan de Pasto,Medellín,802.89
San Juan de Pasto,Arauca,1489.45
San Juan de Pasto,Barranquilla,1647.05
San Juan de Pasto,Cartagena de Indias,1689.09
San Juan de Pasto,Tunja,913.69
San Juan de Pasto,Manizales,642.26
San Juan de Pasto,Florencia,390.61
San Juan de Pasto,Yopal,1124.16
San Juan de Pasto,Popayán,253.88
San Juan de Pasto,Valledupar,1539.97
San Juan de Pasto,Quibdó,806.25
San Juan de Pasto,Montería,1212.41
San Juan de Pasto,Bogotá,775.99
San Juan de Pasto,San José del Guaviare,1141.06
San Juan de Pasto,Neiva,464.76
San Juan de Pasto,Riohacha,1733.55
San Juan de Pasto,Santa Marta,1607.21
San Juan de Pasto,Villavicencio,864.02
San Juan de Pasto,Cúcuta,1359.98
San Juan de Pasto,Mocoa,146.55
San Juan de Pasto,Armenia,562.6
San Juan de Pasto,Pereira,591.58
San Juan de Pasto,Bucaramanga,1164.55
San Juan de Pasto,Sincelejo,1279.43
San Juan de Pasto,Ibagué,675.0
San Juan de Pasto,Cali,390.51
San Juan de Pasto,Puerto Carreño,1713.18
Cúcuta,Medellín,583.02
Cúcuta,Arauca,388.96
Cúcuta,Barranquilla,672.88
Cúcuta,Cartagena de Indias,714.92
Cúcuta,Tunja,415.3
Cúcuta,Manizales,709.68
Cúcuta,Florencia,1132.9
Cúcuta,Yopal,523.76
Cúcuta,Popayán,1104.79
Cúcuta,Valledupar,565.8
Cúcuta,Quibdó,810.97
Cúcuta,Montería,707.08
Cúcuta,Bogotá,553.48
Cúcuta,San José del Guaviare,950.73
Cúcuta,Neiva,897.5
Cúcuta,Riohacha,624.5
Cúcuta,Santa Marta,633.04
Cúcuta,Villavicencio,673.7
Cúcuta,San Juan de Pasto,1361.72
Cúcuta,Mocoa,1216.25
Cúcuta,Armenia,797.19
Cúcuta,Pereira,804.05
Cúcuta,Bucaramanga,197.2
Cúcuta,Sincelejo,592.12
Cúcuta,Ibagué,707.46
Cúcuta,Cali,973.64
Cúcuta,Puerto Carreño,1012.28
Mocoa,Medellín,912.01
Mocoa,Arauca,1343.47
Mocoa,Barranquilla,1501.07
Mocoa,Cartagena de Indias,1543.11
Mocoa,Tunja,767.71
Mocoa,Manizales,696.15
Mocoa,Florencia,244.63
Mocoa,Yopal,978.18
Mocoa,Popayán,277.46
Mocoa,Valledupar,1393.99
Mocoa,Quibdó,890.41
Mocoa,Montería,1256.41
Mocoa,Bogotá,630.01
Mocoa,San José del Guaviare,995.08
Mocoa,Neiva,318.78
Mocoa,Riohacha,1587.57
Mocoa,Santa Marta,1461.23
Mocoa,Villavicencio,718.04
Mocoa,San Juan de Pasto,146.0
Mocoa,Cúcuta,1214.0
Mocoa,Armenia,609.44
Mocoa,Pereira,644.61
Mocoa,Bucaramanga,1018.57
Mocoa,Sincelejo,1420.31
Mocoa,Ibagué,529.01
Mocoa,Cali,410.03
Mocoa,Puerto Carreño,1567.2
Armenia,Medellín,268.46
Armenia,Arauca,979.35
Armenia,Barranquilla,1069.28
Armenia,Cartagena de Indias,923.54
Armenia,Tunja,403.59
Armenia,Manizales,96.99
Armenia,Florencia,512.93
Armenia,Yopal,614.06
Armenia,Popayán,310.05
Armenia,Valledupar,962.21
Armenia,Quibdó,291.24
Armenia,Montería,677.98
Armenia,Bogotá,265.89
Armenia,San José del Guaviare,630.96
Armenia,Neiva,277.53
Armenia,Riohacha,1155.78
Armenia,Santa Marta,1029.44
Armenia,Villavicencio,353.92
Armenia,San Juan de Pasto,564.41
Armenia,Cúcuta,782.21
Armenia,Mocoa,596.28
Armenia,Pereira,45.45
Armenia,Bucaramanga,586.78
Armenia,Sincelejo,744.99
Armenia,Ibagué,73.08
Armenia,Cali,178.9
Armenia,Puerto Carreño,1203.07
Pereira,Medellín,223.35
Pereira,Arauca,1018.3
Pereira,Barranquilla,928.39
Pereira,Cartagena de Indias,878.44
Pereira,Tunja,442.53
Pereira,Manizales,51.88
Pereira,Florencia,551.88
Pereira,Yopal,653.01
Pereira,Popayán,340.06
Pereira,Valledupar,1001.15
Pereira,Quibdó,251.52
Pereira,Montería,632.87
Pereira,Bogotá,304.84
Pereira,San José del Guaviare,669.9
Pereira,Neiva,316.48
Pereira,Riohacha,1194.73
Pereira,Santa Marta,1068.39
Pereira,Villavicencio,392.87
Pereira,San Juan de Pasto,594.42
Pereira,Cúcuta,821.16
Pereira,Mocoa,635.23
Pereira,Armenia,45.97
Pereira,Bucaramanga,625.73
Pereira,Sincelejo,699.89
Pereira,Ibagué,112.03
Pereira,Cali,208.92
Pereira,Puerto Carreño,1242.02
Bucaramanga,Medellín,386.68
Bucaramanga,Arauca,439.55
Bucaramanga,Barranquilla,580.69
Bucaramanga,Cartagena de Indias,622.73
Bucaramanga,Tunja,267.65
Bucaramanga,Manizales,513.35
Bucaramanga,Florencia,936.57
Bucaramanga,Yopal,412.27
Bucaramanga,Popayán,908.45
Bucaramanga,Valledupar,473.61
Bucaramanga,Quibdó,614.64
Bucaramanga,Montería,614.9
